,Category,Subcategory,URL
0,Animals & Pets,Animal Health,https://trustpilot.com/categories/animal_health?numberofreviews=0&page=1&status=all&timeperiod=0
1,Animals & Pets,Animal Parks & Zoo,https://trustpilot.com/categories/animal_parks_zoo?numberofreviews=0&page=1&status=all&timeperiod=0
2,Animals & Pets,Cats & Dogs,https://trustpilot.com/categories/cats_dogs?numberofreviews=0&page=1&status=all&timeperiod=0
3,Animals & Pets,Horses & Riding,https://trustpilot.com/categories/horses_riding?numberofreviews=0&page=1&status=all&timeperiod=0
4,Animals & Pets,Pet Services,https://trustpilot.com/categories/pet_services?numberofreviews=0&page=1&status=all&timeperiod=0
5,Animals & Pets,Pet Stores,https://trustpilot.com/categories/pet_stores?numberofreviews=0&page=1&status=all&timeperiod=0
6,Beauty & Well-being,Cosmetics & Makeup,https://trustpilot.com/categories/cosmetics_makeup?numberofreviews=0&page=1&status=all&timeperiod=0
7,Beauty & Well-being,Hair Care & Styling,https://trustpilot.com/categories/hair_care_styling?numberofreviews=0&page=1&status=all&timeperiod=0
8,Beauty & Well-being,Personal Care,https://trustpilot.com/categories/personal_care?numberofreviews=0&page=1&status=all&timeperiod=0
9,Beauty & Well-being,Salons & Clinics,https://trustpilot.com/categories/salons_clinics?numberofreviews=0&page=1&status=all&timeperiod=0
10,Beauty & Well-being,Tattoos & Piercings,https://trustpilot.com/categories/tattoos_piercings?numberofreviews=0&page=1&status=all&timeperiod=0
11,Beauty & Well-being,Wellness & Spa,https://trustpilot.com/categories/wellness_spa?numberofreviews=0&page=1&status=all&timeperiod=0
12,Beauty & Well-being,Yoga & Meditation,https://trustpilot.com/categories/yoga_meditation?numberofreviews=0&page=1&status=all&timeperiod=0
13,Business Services,Administration & Services,https://trustpilot.com/categories/administration_services?numberofreviews=0&page=1&status=all&timeperiod=0
14,Business Services,Associations & Centers,https://trustpilot.com/categories/associations_centers?numberofreviews=0&page=1&status=all&timeperiod=0
15,Business Services,HR & Recruiting,https://trustpilot.com/categories/hr_recruiting?numberofreviews=0&page=1&status=all&timeperiod=0
16,Business Services,IT & Communication,https://trustpilot.com/categories/it_communication?numberofreviews=0&page=1&status=all&timeperiod=0
17,Business Services,Import & Export,https://trustpilot.com/categories/import_export?numberofreviews=0&page=1&status=all&timeperiod=0
18,Business Services,Office Space & Supplies,https://trustpilot.com/categories/office_space_supplies?numberofreviews=0&page=1&status=all&timeperiod=0
19,Business Services,Print & Graphic Design,https://trustpilot.com/categories/print_graphic_design?numberofreviews=0&page=1&status=all&timeperiod=0
20,Business Services,Research & Development,https://trustpilot.com/categories/research_development?numberofreviews=0&page=1&status=all&timeperiod=0
21,Business Services,Sales & Marketing,https://trustpilot.com/categories/sales_marketing?numberofreviews=0&page=1&status=all&timeperiod=0
22,Business Services,Shipping & Logistics,https://trustpilot.com/categories/shipping_logistics?numberofreviews=0&page=1&status=all&timeperiod=0
23,Business Services,Wholesale,https://trustpilot.com/categories/wholesale?numberofreviews=0&page=1&status=all&timeperiod=0
24,Construction & Manufacturing,Architects & Engineers,https://trustpilot.com/categories/architects_engineers?numberofreviews=0&page=1&status=all&timeperiod=0
25,Construction & Manufacturing,Building Materials,https://trustpilot.com/categories/building_materials?numberofreviews=0&page=1&status=all&timeperiod=0
26,Construction & Manufacturing,Chemicals & Plastic,https://trustpilot.com/categories/chemicals_plastic?numberofreviews=0&page=1&status=all&timeperiod=0
27,Construction & Manufacturing,Construction Services,https://trustpilot.com/categories/construction_services?numberofreviews=0&page=1&status=all&timeperiod=0
28,Construction & Manufacturing,Contractors & Consultants,https://trustpilot.com/categories/contractors_consultants?numberofreviews=0&page=1&status=all&timeperiod=0
29,Construction & Manufacturing,Factory Equipment,https://trustpilot.com/categories/factory_equipment?numberofreviews=0&page=1&status=all&timeperiod=0
30,Construction & Manufacturing,Garden & Landscaping,https://trustpilot.com/categories/garden_landscaping?numberofreviews=0&page=1&status=all&timeperiod=0
31,Construction & Manufacturing,Industrial Supplies,https://trustpilot.com/categories/industrial_supplies?numberofreviews=0&page=1&status=all&timeperiod=0
32,Construction & Manufacturing,Manufacturing,https://trustpilot.com/categories/manufacturing?numberofreviews=0&page=1&status=all&timeperiod=0
33,Construction & Manufacturing,Production Services,https://trustpilot.com/categories/production_services?numberofreviews=0&page=1&status=all&timeperiod=0
34,Construction & Manufacturing,Tools & Equipment,https://trustpilot.com/categories/tools_equipment?numberofreviews=0&page=1&status=all&timeperiod=0
35,Education & Training,Colleges & Universities,https://trustpilot.com/categories/colleges_universities?numberofreviews=0&page=1&status=all&timeperiod=0
36,Education & Training,Courses & Classes,https://trustpilot.com/categories/courses_classes?numberofreviews=0&page=1&status=all&timeperiod=0
37,Education & Training,Education Services,https://trustpilot.com/categories/education_services?numberofreviews=0&page=1&status=all&timeperiod=0
38,Education & Training,Language Learning,https://trustpilot.com/categories/language_learning?numberofreviews=0&page=1&status=all&timeperiod=0
39,Education & Training,Music & Theater Classes,https://trustpilot.com/categories/music_theater_classes?numberofreviews=0&page=1&status=all&timeperiod=0
40,Education & Training,School & High School,https://trustpilot.com/categories/school_high_school?numberofreviews=0&page=1&status=all&timeperiod=0
41,Education & Training,Specials Schools,https://trustpilot.com/categories/specials_schools?numberofreviews=0&page=1&status=all&timeperiod=0
42,Education & Training,Vocational Training,https://trustpilot.com/categories/vocational_training?numberofreviews=0&page=1&status=all&timeperiod=0
43,Electronics & Technology,Appliances & Electronics,https://trustpilot.com/categories/appliances_electronics?numberofreviews=0&page=1&status=all&timeperiod=0
44,Electronics & Technology,Audio & Visual,https://trustpilot.com/categories/audio_visual?numberofreviews=0&page=1&status=all&timeperiod=0
45,Electronics & Technology,Computers & Phones,https://trustpilot.com/categories/computers_phones?numberofreviews=0&page=1&status=all&timeperiod=0
46,Electronics & Technology,Internet & Software,https://trustpilot.com/categories/internet_software?numberofreviews=0&page=1&status=all&timeperiod=0
47,Electronics & Technology,Repair & Services,https://trustpilot.com/categories/repair_services?numberofreviews=0&page=1&status=all&timeperiod=0
48,Events & Entertainment,Adult Entertainment,https://trustpilot.com/categories/adult_entertainment?numberofreviews=0&page=1&status=all&timeperiod=0
49,Events & Entertainment,Children's Entertainment,https://trustpilot.com/categories/childrens_entertainment?numberofreviews=0&page=1&status=all&timeperiod=0
50,Events & Entertainment,Clubbing & Nightlife,https://trustpilot.com/categories/clubbing_nightlife?numberofreviews=0&page=1&status=all&timeperiod=0
51,Events & Entertainment,Events & Venues,https://trustpilot.com/categories/events_venues?numberofreviews=0&page=1&status=all&timeperiod=0
52,Events & Entertainment,Gambling,https://trustpilot.com/categories/gambling?numberofreviews=0&page=1&status=all&timeperiod=0
53,Events & Entertainment,Gaming,https://trustpilot.com/categories/gaming?numberofreviews=0&page=1&status=all&timeperiod=0
54,Events & Entertainment,Museums & Exibits,https://trustpilot.com/categories/museums_exibits?numberofreviews=0&page=1&status=all&timeperiod=0
55,Events & Entertainment,Music & Movies,https://trustpilot.com/categories/music_movies?numberofreviews=0&page=1&status=all&timeperiod=0
56,Events & Entertainment,Theater & Opera,https://trustpilot.com/categories/theater_opera?numberofreviews=0&page=1&status=all&timeperiod=0
